FID,Person Key,Crash Key,FDOT Crash Number,FLHSMV Crash Number,Crash Date,Crash Time,Crash Time Slot,Crash Day,FDOT Managing District,FDOT County Code,County,FDOT Roadway ID,FDOT Mile Post,Road System,SSO Latitude,SSO Longitude,CITY,Person Type Code,Person Type,Person Gender Code,Person Gender,Person Age,Person Injury Code,Person Injury,Person Location Code,Person Location at Crash Time,Person Action Code,Person Action Prior to Crash,Person Action/Circumstance Code,Person Action/Circumstance,Suspected Alcohol Code,Suspected Alcohol Use,Suspected Drug Code,Suspected Drug Use,x,y
1,2016-802896020-2,2016-802896020,802896020,80289602,8/18/2016 22:15,10:15 PM,8: 9P-12A,4: Wed,1,16,Polk,16000000,0,Off-system,27.960256,-81.597363,West Palm Beach,3,Bicyclist,2,Female,63,5,Fatal,7,Shoulder/roadside,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),88,Unknown,1,No,1,No,-9083377.25,3243964.559
2,2016-805312400-1,2016-805312400,805312400,80531240,4/18/2016 0:26,12:26 AM,1: 12A-3A,1: Sun,4,93,Palm Beach,93090000,6.635,On-system,26.8814308,-80.0952059,West Palm Beach,3,Bicyclist,1,Male,67,4,Serious (Incapacitating),6,Bicycle lane,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),9,"Not visible (dark clothing, no lighting, etc)",1,No,1,No,-8916157.834,3108666.508
3,2016-805313290-2,2016-805313290,805313290,80531329,4/29/2016 22:00,10:00 PM,8: 9P-12A,5: Thr,4,93,Palm Beach,93001000,6.148,On-system,26.8409781,-80.1005184,West Palm Beach,1,Pedestrian,2,Female,0,5,Fatal,5,Travel lane (other location),1,Crossing roadway,88,Unknown,1,No,1,No,-8916749.219,3103618.692
4,2016-805318410-2,2016-805318410,805318410,80531841,7/16/2016 15:08,3:08 PM,6: 3P-6P,6: Fri,4,93,Palm Beach,93220080,0,On-system,26.8085637,-80.099204,West Palm Beach,1,Pedestrian,1,Male,49,4,Serious (Incapacitating),2,Intersection (unmarked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-8916602.901,3099575.222
5,2016-814135550-2,2016-814135550,814135550,81413555,1/17/2016 19:26,7:26 PM,7: 6P-9P,7: Sat,4,93,Palm Beach,93000000,0,Off-system,26.702947,-80.091945,Belle Glade,1,Pedestrian,1,Male,51,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-8915794.832,3086408.284
6,2016-814180120-2,2016-814180120,814180120,81418012,2/27/2016 18:57,6:57 PM,7: 6P-9P,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.820048,-80.291251,Boca Raton,1,Pedestrian,1,Male,1,5,Fatal,77,Other,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),3,Failure to yield right-of-way,1,No,1,No,-8937981.481,3101007.675
7,2016-814236990-2,2016-814236990,814236990,81423699,1/23/2016 17:30,5:30 PM,6: 3P-6P,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.434079,-80.162006,West Palm Beach,1,Pedestrian,1,Male,69,4,Serious (Incapacitating),2,Intersection (unmarked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-8923593.988,3052944.181
8,2016-814253510-2,2016-814253510,814253510,81425351,2/4/2016 18:23,6:23 PM,7: 6P-9P,4: Wed,4,93,Palm Beach,93280000,5.468,On-system,26.7068087,-80.1122669,Boynton Beach,3,Bicyclist,1,Male,54,4,Serious (Incapacitating),5,Travel lane (other location),4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),12,Wrong-way riding/walking,1,No,1,No,-8918057.056,3086889.495
9,2016-814276190-2,2016-814276190,814276190,81427619,4/3/2016 1:03,1:03 AM,1: 12A-3A,7: Sat,4,93,Palm Beach,93000000,0,Off-system,26.612945,-80.063348,Boynton Beach,1,Pedestrian,1,Male,33,4,Serious (Incapacitating),7,Shoulder/roadside,6,"In roadway, other (working, playing, etc)",1,No improper action,1,No,1,No,-8912611.427,3075197.619
10,2016-814306970-2,2016-814306970,814306970,81430697,1/15/2016 22:14,10:14 PM,8: 9P-12A,5: Thr,4,93,Palm Beach,93000000,0,Off-system,26.572158,-80.065604,Boca Raton,1,Pedestrian,1,Male,32,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-8912862.564,3070120.09
